Metrics Name,Metrics Type,Note
pulsar_subscription_back_log,Gauge,The total backlog (number of messages) for a subscription of a topic.
pulsar_subscription_delayed,Gauge,The total number of messages of a subscription that are delayed to be dispatched for a subscription of a topic.
pulsar_subscription_msg_rate_redeliver,Gauge,The total message rate (message per second) being redelivered for a subscription of a topic.
pulsar_subscription_unacked_messages,Gauge,The total number of unacknowledged messages for a subscription of a topic.
pulsar_subscription_blocked_on_unacked_messages,Gauge,Binary indicator (1 or 0) of whether a subscription of a topic is blocked on unacknowledged messages or not.
pulsar_subscription_msg_rate_out,Gauge,The total message dispatch rate (message per second) for a subscription of a topic.
pulsar_subscription_msg_throughput_out,Gauge,The total message dispatch throughput (bytes per second) for a subscription of a topic.
pulsar_subscription_msg_ack_rate,Gauge,The total message acknowledgment rate (message per second) for a subscription of a topic.
pulsar_subscription_msg_rate_expired,Gauge,The total rate of messages (message per second) expired on a subscription of a topic.
pulsar_subscription_total_msg_expired,Gauge,The total number of messages expired on a subscription of a topic.
pulsar_subscription_msg_drop_rate,Gauge,The rate of messages (message per second) dropped on a subscription of a topic.
pulsar_subscription_consumers_count,Gauge,The number of connected consumers on a subscription of a topic.
